what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430543711157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430543712764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430543715685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430543751008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430543779585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430543780497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430543788472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430543791375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430543795272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430543796872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430543801415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430543818071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430543881747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430543897122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430543915745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430543916536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430543919937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430543920962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1430543958247
